Link,Price,OwnershipType:,Property Type:,Bedrooms:,Bathrooms:,Half Bathrooms:,Access Type:,Amenities Nearby:,Built in:,Community Features:,Features:,Floor Space (approx):,Landscape Features:,Lot Depth:,Lot Frontage:,Zoning:,Sewer:,Parking Type:,Number_Parking_Spaces,Bathroom,Bedroom,Primary Bedroom,Recreation Room,Dining,Kitchen,Family,Living,Communication Type:,Fence Type:,Structure Type:,Utility Type:,Sun Room,Foyer,Utility,Laundry,Exercise,Pantry,Mudroom,Great Room,Pool Type:,Acres Range:,Architectural Style:,Basement:,Construction Materials:,Cooling:,Driveway Parking:,Exterior Features:,Heating:,Interior Features:,Laundry Features:,Lot Features:,Other Structures:,Parking Features:,Road Frontage Type:,Roof:,Security Features:,Utilities:,View:,Water Source:,Water Treatment:,Waterfront Features:,Irregular:,Lot Size:,2nd Bedroom,3rd Bedroom,Condo Fees:,MaintenanceFee Type:,Storage Type:,Fireplace Features:,Office,Den,Other,Workshop,Fencing:,Window Features:,Annual Tax Amount:,Drive:,Family Room:,Fronting On (NSEW):,Occupancy:,Pool:,Sewers:,Style:,Water:,Road Surface Type:,Storage,Eat-in Kitchen,Association Amenities:,Pool Features:,Dinette,Accessibility Features:,4th Bedroom,Common Elements Included:,Parking Included:,Water Included:,Approx Age:,Pets Permitted:,UFFI:,Parking/Drive:,Sitting,Games,Media Room,Surface Water:,5th Bedroom,Air Conditioning:,Survey:,Breakfast,Approx Square Footage:,Furnace,Flooring:,Loft,Docking Type:,Library,Business Type:,Acreage:,Playroom,Appliances Included:,Acreage Info:,Attachment Style:,Basement Development:,District:,Driveway:,Exterior Finish:,Foundation:,Geocode Source:,Heating Cooling:,Hot Water Tank Type:,Major Area:,Outdoor Features:,Property SubTypes:,PropertyType:,Rental Equipment:,Sewer Availability:,Showings:,Side Of Road:,SiteInfluences:,Sub District:,Tax Year:,Title:,Type Of Dwelling:,Water Availability:,Heating Fuel:,Soil Type:,Porch,Shore line:,Attic,View Type:,Area Influences:
https://www.royallepage.ca/en/property/ontario/london/2452-red-thorne-avenue/20378578/mls40473647/,"$1,149,000",Freehold,Single Family,4+1,5,1,"Road access, Highway access","Park, Playground, Public Transit, Schools, Shopping",2017,"Quiet Area, School Bus","Sump Pump, Automatic Garage Door Opener",2538,Landscaped,112.0 Feet,49.0 Feet,r1-4,Municipal sewage system,Attached garage,4,Main LevelMeasurements not available,Basement Level11'11'' x 18'4'',2nd Level15'2'' x 14'4'',Basement Level32'10'' x 28'1'',Main Level16'5'' x 11'0'',Main Level15'7'' x 9'11'',Main Level18'5'' x 14'1'',Main Level11'8'' x 17'7'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/765-wellington-street/20378744/mls40473673/,"$998,900",Freehold,Single Family,3,4,2,Road access,"Hospital, Park, Playground, Public Transit, Schools, Shopping",1913,School Bus,Automatic Garage Door Opener,2728,"Lawn sprinkler, Landscaped",117.0 Feet,49.0 Feet,R2-2(7),Municipal sewage system,Detached garage,7,Lower Level5'3'' x 2'8'',2nd Level14'6'' x 13'3'',3rd Level17'2'' x 17'2'',Lower Level16'5'' x 11'1'',Main Level14'0'' x 12'6'',Main Level15'5'' x 14'11'',2nd Level14'1'' x 12'8'',Main Level16'1'' x 13'9'',High Speed Internet,Fence,Porch,"Hydro - Available, Natural Gas - Available, Telephone - Available",2nd Level17'8'' x 8'4'',Main Level14'2'' x 11'10'',Lower Level15'5'' x 12'8'',Lower Level17'10'' x 14'11'',Lower Level13'11'' x 11'1'',Main Level8'10'' x 4'11'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/787-gatestone-road/20377583/mls40473624/,"$799,900",Freehold,Single Family,3,3,1,Road access,"Playground, Schools, Shopping",2023,,Sump Pump,1665,,115.0 Feet,38.0 Feet,R1-4,Municipal sewage system,Attached garage,4,Main Level6' x 3'1'',2nd Level12'2'' x 10'7'',2nd Level18'5'' x 11'10'',,,Main Level14'0'' x 9'4'',,,High Speed Internet,,,"Hydro - Available, Telephone - Available, Natural Gas - Available",,Main Level15'0'' x 8'0'',,,,Main Level6'8'' x 5'4'',Main Level6'8'' x 5'2'',Main Level14'0'' x 17'0'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1159-whetherfield-street/20378868/mls40473177/,"$772,888",Freehold,Single Family,3,4,1,Road access,Shopping,2010,,,1745,Landscaped,105.0 Feet,31.0 Feet,"R2-1(6), R4-6(4)",Municipal sewage system,Attached garage,3,Main Level5'1'' x 5'1'',2nd Level14'0'' x 15'0'',2nd Level14'3'' x 15'6'',Lower Level20'11'' x 24'4'',Main Level10'0'' x 12'11'',Main Level10'1'' x 12'4'',,,High Speed Internet,,,"Cable - Available, Telephone - Available, Hydro - Available, Natural Gas - Available",,,,,,,,Main Level20'1'' x 11'5'',On Ground Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/916-shelborne-street/20379053/mls40470013/,"$624,900",,,3,1+1,,,,,,,1585 Square Feet,,148.32 Feet,30.28 Feet,R2-1,Sewer (Municipal),,3,2nd Level,2nd Level3.96 X 3.07,2nd Level5.36 X 3.38,Basement Level6.40 X 4.83,Main Level2.90 X 2.97,Main Level3.53 X 3.30,,Main Level6.40 X 3.33,,,,,,Main Level2.11 X 1.47,Basement Level3.71 X 1.83,,,,,,,< 0.5,Two Story,"Full, Finished, Sump Pump",Brick,Central Air,Private Drive Single Wide,"Landscaped, Lighting","Forced Air, Natural Gas","High Speed Internet, Rough-in Bath",In Basement,"Urban, Irregular Lot, Dog Park, City Lot, Highway Access, Hospital, Landscaped, Library, Major Highway, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Ravine, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby, Trails",Shed(s),Attached Garage,Municipal Road,Asphalt Shing,"Carbon Monoxide Detector(s), Smoke Detector(s)","Cable Connected, Cell Service, Electricity Connected, Fibre Optics, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights","Trees/Woods, Water",Municipal,None,Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/234-olympic-crescent/20379052/mls40473719/,"$619,000",,,3,2+1,,,,,,,946 Square Feet,,145 Feet,26.00 Feet,R2-1,Sewer (Municipal),,2,2nd Level,2nd Level4.98 X 3.84,,,,Main Level3.35 X 3.20,Basement Level5.21 X 5.18,Main Level7.06 X 3.43,,,,,,,,Basement Level,,,,,,< 0.5,Backsplit,"Development Potential, Full, Finished","Aluminum Siding, Brick",Central Air,Private Drive Double Wide,,"Forced Air, Natural Gas",,In Basement,"Urban, Hospital, Library, Park, Public Parking, School Bus Route",,,,Asphalt Shing,Smoke Detector,"Cable Available, Cell Service, Electricity Connected, Natural Gas Connected, Recycling Pickup, Phone Available",,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/23-sasha-cres/20378161/mlsx6767280/,"$550,000",Freehold,Single Family,3,2,,,"Park, Public Transit, Schools",,School Bus,,,,,,,,,3,Main LevelMeasurements not available,,2nd Level4.27 m x 3.96 m14.01 ft x 12.99 ft,Basement Level5.49 m x 3.66 m18.01 ft x 12.01 ft,,Main Level6.10 m x 3.35 m20.01 ft x 10.99 ft,,Main Level6.10 m x 2.74 m20.01 ft x 8.99 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,30 x 115 FT,2nd Level4.57 m x 2.74 m14.99 ft x 8.99 ft,2nd Level3.05 m x 3.05 m10.01 ft x 10.01 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/19-king-street-unit-103/20377764/mls40467160/,"$424,900",Condominium,Single Family,2,2,,Road access,"Park, Playground, Public Transit, Schools, Shopping",1989,Community Centre,"Ravine, Balcony, No Pet Home",1052,Landscaped,,,DA2,Municipal sewage system,Underground,1,Main Level4'8'' x 6'3'',Main Level11'6'' x 10'3'',Main Level11'7'' x 17'11'',,Main Level9'5'' x 12'4'',Main Level8'2'' x 12'4'',,Main Level16'3'' x 11'9'',,,,,,,Main Level3'1'' x 3'0'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$589 Monthly,"Insurance, Landscaping, Property Management, Other, See Remarks",Locker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/82-chestnut-court/20375584/mls40472761/,"$2,279,000",,,4,4+1,,,,1990,,,4337 Square Feet,,,56.05 Feet,R1-8,Sewer (Municipal),,9,2nd Level,2nd Level4.67 X 3.63,Main Level6.58 X 6.05,,Main Level4.24 X 4.90,Main Level6.20 X 4.78,"Other level
                
            
        
        
            
                :Lower6.68 X 5.11",Main Level6.07 X 4.22,,,,,,,"Other level
                
            
        
        
            
                :Lower6.38 X 2.01",Main Level2.90 X 3.61,"Other level
                
            
        
        
            
                :Lower6.12 X 4.22",,,Main Level5.36 X 6.45,,,Two Story,"Walk-Out Access, Full, Finished",Brick,Central Air,Private Drive Triple+ Wide,"Backs on Greenbelt, Built-in Barbecue, Landscape Lighting, Landscaped, Lawn Sprinkler System, Privacy","Forced Air, Natural Gas","Central Vacuum, Air Exchanger, Auto Garage Door Remote(s), Built-In Appliances, Floor Drains, In-law Capability","Laundry Room, Main Level","Urban, Irregular Lot, Cul-De-Sac, Greenbelt, Landscaped, Library, Open Spaces, Park, Public Transit, Schools, Shopping Nearby, Trails, Other",Shed(s),"Attached Garage, Garage Door Opener",,Shingle,"Alarm System, Smoke Detector(s)",,,Municipal,,,,,,,,,,"Family Room, Living Room, Gas, Wood Burning",Main Level4.78 X 4.67,"Other level
                
            
        
        
            
                :Lower10.85 X 4.09","Other level
                
            
        
        
            
                :Lower4.24 X 1.98Note:Wine Cellar","Other level
                
            
        
        
            
                :Lower4.72 X 4.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/161-windermere-road/20379060/mls40473701/,"$1,495,000",,,6,2+2,,,,1860,,,3850 Square Feet,,,154.62 Feet,SFR,Sanitary,,14,2nd Level0.00 X 0.00,2nd Level4.57 X 3.12,2nd Level5.18 X 4.52,,Main Level6.20 X 4.11,,Main Level5.49 X 4.65,Main Level5.44 X 4.37,,,,,,,,Main Level2.84 X 2.36,,,Main Level4.44 X 2.44,,,,2.5 Storey,"Exposed Rock, Full, Partially Finished",Brick,Central Air,Private Drive Double Wide,"Backs on Greenbelt, Balcony","Forced Air, Natural Gas","High Speed Internet, Built-In Appliances",,"Urban, Rectangular, Cul-De-Sac, Greenbelt, Hospital, Landscaped, Ravine, Shopping Nearby, Trails",Other,"Attached Garage, Garage Door Opener, Asphalt, Circular",Private Road,"Rolled/Hot Mop, Slate","Alarm System, Security System","Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights, Phone Connected, Underground Utilities","Garden, Trees/Woods",Municipal,,River/Stream,,,,,,,,Wood Burning,,Main Level4.34 X 3.35,2nd Level4.32 X 2.44Note:Bonus Room,,Fence - Partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/382-cedar-avenue/20375494/mls40473449/,"$849,900",,,5,3+0,,,,1948,,,1700 Square Feet,,160 Feet,70.00 Feet,R1,Sewer (Municipal),,9,Main Level,Main Level3.96 X 3.66,Main Level4.27 X 3.96,,Main Level3.35 X 3.05,Main Level3.05 X 4.27,"Other level
                
            
        
        
            
                :Lower6.53 X 3.66",,,,,,,,,"Other level
                
            
        
        
            
                :Lower3.96 X 3.05",,,,Main Level7.32 X 4.09,,,Bungalow Raised,"Walk-Out Access, Full, Finished","Stone, Wood Siding",Central Air,Private Drive Double Wide,,"Forced Air, Natural Gas",In-Law Floorplan,"In Basement, Main Level","Urban, Corner Lot",Shed(s),,,Asphalt Shing,"Smoke Detector, Smoke Detector(s)",,,Municipal-Metered,,,,,,,,,,"Family Room, Recreation Room",,,,,Full,Window Coverings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/74-1781-henrica-ave-e/20367784/mlsx6762278/,"$739,900",Condominium/Strata,Single Family,4,4,,,"Hospital, Park, Public Transit",,School Bus,Balcony,,,,,,,Garage,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$225 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/750-walker-st/20367906/mlsx6763428/,"$599,000",,,3,2,,,,,,,,,70 Feet,50 Feet,,,,1,,Main Level2.41 m x 3.17 m7.91 ft x 10.40 ft,,,,Main Level4.98 m x 3.68 m16.34 ft x 12.07 ftNote:Combined W/Dining,,Main Level3.96 m x 4.65 m12.99 ft x 15.26 ft,,,,,,,,Main Level1.85 m x 1.4 m6.07 ft x 4.59 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement Level4.65 m x 4.32 m15.26 ft x 14.17 ftNote:Partly Finished,,,,"$2,615",Private,No,No,Tenant,None,Sewers,Bungalow,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/23-sasha-crescent/20375593/mls40473170/,"$550,000",,,3,1+1,,,,,,,1091 Square Feet,,115 Feet,30.00 Feet,R2-3,Sewer (Municipal),,3,Main Level,2nd Level4.57 X 2.74,2nd Level4.27 X 3.96,Basement Level5.49 X 3.66,,Main Level6.10 X 3.35,,Main Level6.10 X 2.74,,,,,,,,,,,,,,< 0.5,Two Story,"Full, Partially Finished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,,Forced Air,Central Vacuum,,"Urban, Landscaped, Library, Open Spaces, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, School Bus Route, Schools, Shopping Nearby, Trails",,,Public Road,Shingle,,,,Municipal,,,,,,,,,,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/83-dudley-crescent/20373501/mls40466365/,"$489,900",,,3,1+0,,,,1973,,,1024.79 Square Feet,,,38.28 Feet,R1-4,Sewer (Municipal),,3,Main Level1.52 X 2.41,Main Level2.51 X 3.00,Main Level3.38 X 2.95,Basement Level5.94 X 7.09,Main Level2.51 X 2.90,Main Level2.46 X 2.49,Basement Level4.70 X 7.29,Main Level3.38 X 6.17,,,,,,,Basement Level1.12 X 7.24,,,,,,,< 0.5,Bungalow,"Full, Finished",Brick,None,Private Drive Single Wide,Landscaped,"Baseboard, Electric",,In Basement,"Urban, Park, Playground Nearby, Public Transit, Rec./Community Centre, Schools, Shopping Nearby",,Asphalt,"Municipal Road, Public Road",Shingle,,,,Municipal,None,,,,,,,,,,,,,,,Window Coverings,,,,,,,,,,Paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1086-blanchard-rd-n/20368917/mlsx6762952/,"$479,900",Freehold,Single Family,3,2,,,"Park, Public Transit, Schools",,Community Centre,,,,,,,,,2,Main Level1.23 m x 0.93 m4.04 ft x 3.05 ft,2nd Level3.04 m x 4.57 m9.97 ft x 14.99 ft,,,,Main Level2.43 m x 5.19 m7.97 ft x 17.03 ft,,Main Level2.45 m x 6.73 m8.04 ft x 22.08 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,30 x 126 FT,2nd Level2.46 m x 4.28 m8.07 ft x 14.04 ft,2nd Level2.45 m x 3.07 m8.04 ft x 10.07 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
