,Link,Price,Bedrooms:,Bathrooms:,Floor Space (approx):,Lot Frontage:,Zoning:,Sewer:,Bathroom,Bedroom,Primary Bedroom,Kitchen,Acres Range:,Architectural Style:,Basement:,Construction Materials:,Cooling:,Driveway Parking:,Heating:,Lot Features:,Roof:,Water Source:,Number_Parking_Spaces
0,https://www.royallepage.ca/en/property/ontario/london/2452-red-thorne-avenue/20378578/mls40473647/,"$1,149,000",4+1,5,2538,49.0 Feet,r1-4,Municipal sewage system,Main LevelMeasurements not available,Basement Level11'11'' x 18'4'',2nd Level15'2'' x 14'4'',Main Level15'7'' x 9'11'',,,,,,,,,,,4.0
1,https://www.royallepage.ca/en/property/ontario/london/765-wellington-street/20378744/mls40473673/,"$998,900",3,4,2728,49.0 Feet,R2-2(7),Municipal sewage system,Lower Level5'3'' x 2'8'',2nd Level14'6'' x 13'3'',3rd Level17'2'' x 17'2'',Main Level15'5'' x 14'11'',,,,,,,,,,,7.0
2,https://www.royallepage.ca/en/property/ontario/london/787-gatestone-road/20377583/mls40473624/,"$799,900",3,3,1665,38.0 Feet,R1-4,Municipal sewage system,Main Level6' x 3'1'',2nd Level12'2'' x 10'7'',2nd Level18'5'' x 11'10'',Main Level14'0'' x 9'4'',,,,,,,,,,,4.0
3,https://www.royallepage.ca/en/property/ontario/london/1159-whetherfield-street/20378868/mls40473177/,"$772,888",3,4,1745,31.0 Feet,"R2-1(6), R4-6(4)",Municipal sewage system,Main Level5'1'' x 5'1'',2nd Level14'0'' x 15'0'',2nd Level14'3'' x 15'6'',Main Level10'1'' x 12'4'',,,,,,,,,,,3.0
4,https://www.royallepage.ca/en/property/ontario/london/916-shelborne-street/20379053/mls40470013/,"$624,900",3,1+1,1585 Square Feet,30.28 Feet,R2-1,Sewer (Municipal),2nd Level,2nd Level3.96 X 3.07,2nd Level5.36 X 3.38,Main Level3.53 X 3.30,< 0.5,Two Story,"Full, Finished, Sump Pump",Brick,Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Irregular Lot, Dog Park, City Lot, Highway Access, Hospital, Landscaped, Library, Major Highway, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Ravine, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby, Trails",Asphalt Shing,Municipal,3.0
5,https://www.royallepage.ca/en/property/ontario/london/234-olympic-crescent/20379052/mls40473719/,"$619,000",3,2+1,946 Square Feet,26.00 Feet,R2-1,Sewer (Municipal),2nd Level,2nd Level4.98 X 3.84,,Main Level3.35 X 3.20,< 0.5,Backsplit,"Development Potential, Full, Finished","Aluminum Siding, Brick",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Hospital, Library, Park, Public Parking, School Bus Route",Asphalt Shing,Municipal,2.0
6,https://www.royallepage.ca/en/property/ontario/london/23-sasha-cres/20378161/mlsx6767280/,"$550,000",3,2,,,,,Main LevelMeasurements not available,,2nd Level4.27 m x 3.96 m14.01 ft x 12.99 ft,Main Level6.10 m x 3.35 m20.01 ft x 10.99 ft,,,,,,,,,,,3.0
7,https://www.royallepage.ca/en/property/ontario/london/19-king-street-unit-103/20377764/mls40467160/,"$424,900",2,2,1052,,DA2,Municipal sewage system,Main Level4'8'' x 6'3'',Main Level11'6'' x 10'3'',Main Level11'7'' x 17'11'',Main Level8'2'' x 12'4'',,,,,,,,,,,1.0
8,https://www.royallepage.ca/en/property/ontario/london/82-chestnut-court/20375584/mls40472761/,"$2,279,000",4,4+1,4337 Square Feet,56.05 Feet,R1-8,Sewer (Municipal),2nd Level,2nd Level4.67 X 3.63,Main Level6.58 X 6.05,Main Level6.20 X 4.78,,Two Story,"Walk-Out Access, Full, Finished",Brick,Central Air,Private Drive Triple+ Wide,"Forced Air, Natural Gas","Urban, Irregular Lot, Cul-De-Sac, Greenbelt, Landscaped, Library, Open Spaces, Park, Public Transit, Schools, Shopping Nearby, Trails, Other",Shingle,Municipal,9.0
9,https://www.royallepage.ca/en/property/ontario/london/161-windermere-road/20379060/mls40473701/,"$1,495,000",6,2+2,3850 Square Feet,154.62 Feet,SFR,Sanitary,2nd Level0.00 X 0.00,2nd Level4.57 X 3.12,2nd Level5.18 X 4.52,,,2.5 Storey,"Exposed Rock, Full, Partially Finished",Brick,Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Cul-De-Sac, Greenbelt, Hospital, Landscaped, Ravine, Shopping Nearby, Trails","Rolled/Hot Mop, Slate",Municipal,14.0
10,https://www.royallepage.ca/en/property/ontario/london/382-cedar-avenue/20375494/mls40473449/,"$849,900",5,3+0,1700 Square Feet,70.00 Feet,R1,Sewer (Municipal),Main Level,Main Level3.96 X 3.66,Main Level4.27 X 3.96,Main Level3.05 X 4.27,,Bungalow Raised,"Walk-Out Access, Full, Finished","Stone, Wood Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Corner Lot",Asphalt Shing,Municipal-Metered,9.0
11,https://www.royallepage.ca/en/property/ontario/london/74-1781-henrica-ave-e/20367784/mlsx6762278/,"$739,900",4,4,,,,,,,,,,,,,,,,,,,4.0
12,https://www.royallepage.ca/en/property/ontario/london/750-walker-st/20367906/mlsx6763428/,"$599,000",3,2,,50 Feet,,,,Main Level2.41 m x 3.17 m7.91 ft x 10.40 ft,,Main Level4.98 m x 3.68 m16.34 ft x 12.07 ftNote:Combined W/Dining,,,,,,,,,,,1.0
13,https://www.royallepage.ca/en/property/ontario/london/23-sasha-crescent/20375593/mls40473170/,"$550,000",3,1+1,1091 Square Feet,30.00 Feet,R2-3,Sewer (Municipal),Main Level,2nd Level4.57 X 2.74,2nd Level4.27 X 3.96,Main Level6.10 X 3.35,< 0.5,Two Story,"Full, Partially Finished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,Forced Air,"Urban, Landscaped, Library, Open Spaces, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, School Bus Route, Schools, Shopping Nearby, Trails",Shingle,Municipal,3.0
14,https://www.royallepage.ca/en/property/ontario/london/83-dudley-crescent/20373501/mls40466365/,"$489,900",3,1+0,1024.79 Square Feet,38.28 Feet,R1-4,Sewer (Municipal),Main Level1.52 X 2.41,Main Level2.51 X 3.00,Main Level3.38 X 2.95,Main Level2.46 X 2.49,< 0.5,Bungalow,"Full, Finished",Brick,,Private Drive Single Wide,"Baseboard, Electric","Urban, Park, Playground Nearby, Public Transit, Rec./Community Centre, Schools, Shopping Nearby",Shingle,Municipal,3.0
15,https://www.royallepage.ca/en/property/ontario/london/1086-blanchard-rd-n/20368917/mlsx6762952/,"$479,900",3,2,,,,,Main Level1.23 m x 0.93 m4.04 ft x 3.05 ft,2nd Level3.04 m x 4.57 m9.97 ft x 14.99 ft,,Main Level2.43 m x 5.19 m7.97 ft x 17.03 ft,,,,,,,,,,,2.0
