Unnamed: 0,Price,NumBedrooms,NumBathrooms,Floor_Space,Frontyard_space_in_ft,Bathroom_Level,Bedroom_Level,Primary_Bedroom_Level,Number_Parking_Spaces
0,1149000.0,5.0,5.0,2538.0,49.0,2,1,3,4.0
1,998900.0,3.0,4.0,2728.0,49.0,1,3,1,7.0
2,799900.0,3.0,3.0,1665.0,38.0,2,3,3,4.0
3,772888.0,3.0,4.0,1745.0,31.0,2,3,3,3.0
4,624900.0,3.0,2.0,1585.0,30.28,3,3,3,3.0
5,619000.0,3.0,3.0,949.885,30.0,3,3,1,2.0
6,550000.0,3.0,2.0,1839.2842264150945,58.57068322981366,2,1,3,3.0
7,424900.0,2.0,2.0,1052.0,58.57068322981366,2,2,2,1.0
8,1863299.9999999988,4.0,5.0,2745.3,56.05,3,3,2,9.0
9,1495000.0,6.0,4.0,2745.3,70.0,3,3,3,10.0
10,849900.0,5.0,3.0,1700.0,70.0,2,2,2,9.0
11,739900.0,4.0,4.0,1839.2842264150945,58.57068322981366,1,1,1,4.0
12,599000.0,3.0,2.0,1839.2842264150945,50.0,1,2,1,1.0
13,550000.0,3.0,2.0,1091.0,30.0,2,3,3,3.0
14,489900.0,3.0,1.0,1024.79,38.28,2,2,2,3.0
15,479900.0,3.0,2.0,1839.2842264150945,58.57068322981366,2,3,1,2.0
16,474900.0,2.0,1.0,982.0,35.0,3,3,3,5.0
17,459900.0,5.0,3.0,1604.56,50.25,2,2,2,6.0
18,440000.0,3.0,1.0,949.885,58.0,2,2,2,2.0
19,439900.0,3.0,2.0,1297.39,30.0,1,1,1,2.0
20,374900.0,3.0,2.0,1290.0,58.57068322981366,3,3,3,2.0
21,949900.0,4.0,3.0,1800.0,70.0,3,3,3,5.0
22,699900.0,2.0,3.0,1839.2842264150945,58.57068322981366,1,2,1,2.0
23,699000.0,4.0,3.0,1059.0,45.0,1,3,3,1.0
24,649990.0,3.0,2.0,1839.2842264150945,58.57068322981366,1,1,3,3.0
25,649900.0,4.0,3.0,1839.2842264150945,58.57068322981366,1,2,1,4.0
